TMD:	 WS2 

band  1
0.33161286 	 -1.54371272
0.33489616 	 -1.54928945
0.33817945 	 -1.55491374
0.34146275 	 -1.56058427
0.34474605 	 -1.56629973
0.34802934 	 -1.57205880
0.35131264 	 -1.57786018
0.35459593 	 -1.58370255
0.35787923 	 -1.58958461
0.36116252 	 -1.59550505
0.36444582 	 -1.60146257
0.36772912 	 -1.60745586
0.37101241 	 -1.61348362
0.37429571 	 -1.61954454
0.37757900 	 -1.62563731
0.38086230 	 -1.63176065
0.38414559 	 -1.63791323
0.38742889 	 -1.64409376
0.39071219 	 -1.65030094
0.39399548 	 -1.65653345
0.39727878 	 -1.66278999
0.40056207 	 -1.66906926
0.40384537 	 -1.67536994
0.40712866 	 -1.68169073
0.41041196 	 -1.68803031
0.41369526 	 -1.69438737
0.41697855 	 -1.70076059
0.42026185 	 -1.70714865
0.42354514 	 -1.71355023
0.42682844 	 -1.71996401
0.43011173 	 -1.72638864
0.43339503 	 -1.73282281
0.43667833 	 -1.73926516
0.43996162 	 -1.74571435
0.44324492 	 -1.75216904
0.44652821 	 -1.75862786
0.44981151 	 -1.76508945
0.45309480 	 -1.77155243
0.45637810 	 -1.77801544
0.45966139 	 -1.78447707
0.46294469 	 -1.79093594
0.46622799 	 -1.79739062
0.46951128 	 -1.80383970
0.47279458 	 -1.81028175
0.47607787 	 -1.81671531
0.47936117 	 -1.82313894
0.48264446 	 -1.82955115
0.48592776 	 -1.83595045
0.48921106 	 -1.84233533
0.49249435 	 -1.84870427
0.49577765 	 -1.85505571
0.49906094 	 -1.86138809
0.50234424 	 -1.86769983
0.50562753 	 -1.87398930
0.50891083 	 -1.88025487
0.51219413 	 -1.88649487
0.51547742 	 -1.89270762
0.51876072 	 -1.89889138
0.52204401 	 -1.90504441
0.52532731 	 -1.91116492
0.52861060 	 -1.91725110
0.53189390 	 -1.92330108
0.53517720 	 -1.92931299
0.53846049 	 -1.93528488
0.54174379 	 -1.94121479
0.54502708 	 -1.94710071
0.54831038 	 -1.95294057
0.55159367 	 -1.95873228
0.55487697 	 -1.96447369
0.55816027 	 -1.97016259
0.56144356 	 -1.97579675
0.56472686 	 -1.98137387
0.56801015 	 -1.98689159
0.57129345 	 -1.99234751
0.57457674 	 -1.99773917
0.57786004 	 -2.00306405
0.58114333 	 -2.00831959
0.58442663 	 -2.01350315
0.58770993 	 -2.01861206
0.59099322 	 -2.02364356
0.59427652 	 -2.02859487
0.59755981 	 -2.03346312
0.60084311 	 -2.03824540
0.60412640 	 -2.04293876
0.60740970 	 -2.04754017
0.61069300 	 -2.05204657
0.61397629 	 -2.05645485
0.61725959 	 -2.06076184
0.62054288 	 -2.06496435
0.62382618 	 -2.06905914
0.62710947 	 -2.07304295
0.63039277 	 -2.07691248
0.63367607 	 -2.08066443
0.63695936 	 -2.08429546
0.64024266 	 -2.08780224
0.64352595 	 -2.09118144
0.64680925 	 -2.09442974
